doc_id,topic_truth,text,embedding
1,pets,"My cat sleeps 16 hours a day","[0.9, 0.1, 0.1]"
2,pets,"Dogs need daily walks","[0.85, 0.15, 0.1]"
3,pets,"Goldfish can recognize their owners","[0.8, 0.05, 0.15]"
4,pets,"Hamsters are nocturnal","[0.92, 0.08, 0.05]"
5,pets,"Parrots can mimic human speech","[0.88, 0.1, 0.08]"
6,cars,"Electric vehicles are gaining market share","[0.1, 0.9, 0.05]"
7,cars,"Manual transmission is rare in new cars","[0.05, 0.85, 0.1]"
8,cars,"All-wheel drive helps in snow","[0.1, 0.92, 0.08]"
9,cars,"Hybrid cars combine gas and electric","[0.08, 0.88, 0.05]"
10,cars,"Pickup trucks dominate US sales","[0.12, 0.86, 0.1]"
11,food,"Sourdough bread requires a starter","[0.05, 0.1, 0.9]"
12,food,"Espresso comes from finely ground beans","[0.1, 0.05, 0.92]"
13,food,"Aged parmesan is hard and sharp","[0.08, 0.08, 0.88]"
14,food,"Tofu absorbs flavours from marinades","[0.05, 0.12, 0.85]"
15,food,"Saffron is one of the most expensive spices","[0.1, 0.1, 0.9]"
